Table 3
Measured Emission Lines

		Mrk 348	Mrk 573	Mrk 1066	NGC 7212	NGC 7465	
Line Nucleus	lambda (mum)	Flux	FWHM	Flux	FWHM	Flux	FWHM	Flux	FWHM	Flux	FWHM	
Paalpha broad	1.875	 ... 	 ... 	70.9 +or- 10.1	1160 +or- 210	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	
[S XI]	1.920	 ... 	 ... 	9.2 +or- 2.1	440 +or- 110	 ... 	 ... 	0.7 +or- 0.3	 ... 	 ... 	 ... 	
Brdelta	1.944	3.3 +or- 1.3	900 +or- 300	 ... 	 ... 	11.8 +or- 2.6	 ... 	0.5 +or- 0.2	 ... 	 ... 	 ... 	
H_2 1-0S(3)	1.957	3.4 +or- 0.6	290 +or- 120	6.6 +or- 1.9	400 +or- 200	36.1 +or- 4.7	 ... 	 ... 	 ... 	4.05 +or- 0.65	350 +or- 80	
[Si VI]	1.963	9 +or- 1	450 +or- 50	27 +or- 2	350 +or- 50	9.7 +or- 3.1	 ... 	6.7 +or- 0.4	610 +or- 50	0.3 +or- 0.4	 ... 	
H_2 1-0S(2)	2.032	0.88+or- 0.32	320 +or- 220	:3.8	 ... 	13.8 +or- 1.6	 ... 	0.8 +or- 0.1	810 +or- 160	1.4 +or- 0.3	 ... 	
He I	2.060	 ... 	 ... 	 ... 	 ... 	24.7 +or- 2.2	530 +or- 70	0.7 +or- 0.1	470 +or- 150	 ... 	 ... 	
H_2 1-0S(1)	2.121	2.8 +or- 0.3	140 +or- 50	3.1 +or- 1.3	190 +or- 190	51.8 +or- 1.9	220 +or- 20	2.0 +or- 0.2	600 +or- 80	3.2 +or- 0.4	200 +or- 50	
Brgamma narrow	2.165	3.01+or- 0.42	400 +or- 100	3.5 +or- 1.4	300 +or- 200	44.3 +or- 1.8	100 +or- 20	2.8 +or- 0.2	550 +or- 70	3 +or- 1	540 +or- 210	
Brgamma broad	2.165	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	 ... 	18.3 +or- 6.8	2900 +or- 500	
H_2 1-0S(0)	2.222	:0.6	 ... 	:2.8	 ... 	16.4 +or- 2.5	260 +or- 70	0.6 +or- 0.2	190 +or- 190	:1.6	 ... 	
H_2 2-1S(1)	2.248	:0.6	 ... 	:2.8	 ... 	8.11 +or- 2.07	 ... 	:0.6	 ... 	:1.6	 ... 	
[Ca VIII]	2.322	1.98+or- 0.48	400 +or- 100	 ... 	 ... 	 ... 	 ... 	0.7 +or- 0.2	 ... 	 ... 	 ... 	

Notes. Emission lines detected, central wavelength (rest frame), line fluxes (10-15 erg cm-2 s-1), and FWHM (in km s-1) corrected for instrumental broadening. Lines whose fluxes are reported and whose FWHM values are not, are narrower than the instrumental profile. For several faint transitions, the fluxes reported correspond to an upper limit of 2sigma (those beginning with:).
