# lambda(nm)  coeff spline
  963.000 0.00018192    -2.9261e-04
  964.000 0.00011098     3.6720e-04
  965.000 0.00018808    -2.8795e-04
  966.000 0.00014974     9.1955e-05
  967.000 0.00013911     8.6389e-05
  968.000 0.00016875    -1.9589e-04
  969.000 0.00012145     2.3553e-04
  970.000 0.00015824    -2.4170e-04
  971.000 0.00010561     1.9476e-04
  972.000 0.00012757    -8.9797e-05
  973.000 0.00012302     5.3686e-06
  974.000 0.00012725     1.2100e-04
  975.000 0.00016931    -2.6240e-04
  976.000 0.00010181     2.7124e-04
  977.000 0.00014469    -1.6027e-04
  978.000 0.00014402     1.0856e-04
  979.000 0.00015964    -1.7622e-04
  980.000 0.00009854     1.3600e-04
  981.000 0.00010142     1.6084e-05
  982.000 0.00012698    -6.4262e-05
  983.000 0.00010172    -6.3957e-05
  984.000 0.00008052     3.4445e-04
  985.000 0.00021032    -4.0785e-04
  986.000 0.00013007     2.6644e-05
  987.000 0.00006614     3.9919e-04
  988.000 0.00019224    -4.8324e-04
  989.000 0.00011836     3.3387e-04
  990.000 0.00014423    -2.5374e-04
  991.000 0.00008893     1.9406e-04
  992.000 0.00011446    -3.7528e-05
  993.000 0.00014530    -1.2090e-05
  994.000 0.00015087    -6.5731e-05
  995.000 0.00012613     9.3155e-05
  996.000 0.00014004    -7.4987e-05
  997.000 0.00013149     7.2034e-05
  998.000 0.00014345    -9.0090e-05
  999.000 0.00012657     1.1529e-04
 1000.000 0.00013996    -1.8944e-04
 1001.000 0.00010043     3.2495e-04
 1002.000 0.00018349    -3.7483e-04
 1003.000 0.00011287     2.5225e-04
 1004.000 0.00013538    -7.5350e-05
 1005.000 0.00014406    -3.3824e-05
 1006.000 0.00013901     1.2828e-04
 1007.000 0.00018896    -1.4927e-04
 1008.000 0.00015649    -2.5743e-05
 1009.000 0.00010363     1.2989e-04
 1010.000 0.00013634     1.9615e-05
 1011.000 0.00017163    -1.9287e-04
 1012.000 0.00011628     2.0800e-04
 1013.000 0.00014011    -1.6399e-04
 1014.000 0.00011457     1.5177e-04
 1015.000 0.00013442    -1.7077e-04
 1016.000 0.00010180     2.1647e-04
 1017.000 0.00015498    -1.8028e-04
 1018.000 0.00015493     1.8522e-04
 1019.000 0.00021956    -1.7256e-04
 1020.000 0.00019184    -4.9090e-05
 1021.000 0.00011749     8.9129e-05
 1022.000 0.00012411     1.7842e-04
 1023.000 0.00019786    -4.0002e-04
 1024.000 0.00010125     3.9956e-04
 1025.000 0.00016096    -2.6030e-04
 1026.000 0.00012607     7.4041e-05
 1027.000 0.00012525     1.6855e-04
 1028.000 0.00019825    -3.0534e-04
 1029.000 0.00013375     2.2780e-04
 1030.000 0.00016156    -5.2006e-05
 1031.000 0.00017197    -1.2418e-04
 1032.000 0.00011571     1.4869e-04
 1033.000 0.00013446    -2.0542e-05
 1034.000 0.00016016    -2.4826e-05
 1035.000 0.00015150    -8.6313e-05
 1036.000 0.00010884     1.6608e-04
 1037.000 0.00014223    -1.2170e-04
 1038.000 0.00013963     1.0479e-04
 1039.000 0.00014674    -2.3919e-04
 1040.000 0.00006290     3.0628e-04
 1041.000 0.00011961    -1.4262e-04
 1042.000 0.00013841     3.6736e-05
 1043.000 0.00013916    -1.1262e-04
 1044.000 0.00010330     1.9410e-04
 1045.000 0.00015008    -1.6795e-04
 1046.000 0.00013958     1.3402e-04
 1047.000 0.00017124    -1.1516e-04
 1048.000 0.00016030     7.1009e-05
 1049.000 0.00014296    -2.0728e-04
 1050.000 0.00007991     4.8385e-04
 1051.000 0.00020500    -5.9927e-04
 1052.000 0.00008459     4.4022e-04
 1053.000 0.00012996    -1.6694e-04
 1054.000 0.00013596    -8.6876e-06
 1055.000 0.00012518     1.0101e-04
 1056.000 0.00015934    -1.2571e-04
 1057.000 0.00012801     8.8798e-06
 1058.000 0.00009623     8.7488e-05
 1059.000 0.00013409     5.9008e-05
 1060.000 0.00019089    -2.0988e-04
 1061.000 0.00014189     1.4572e-04
 1062.000 0.00014824    -4.0885e-05
 1063.000 0.00015443     1.6864e-05
 1064.000 0.00016852     2.0831e-05
 1065.000 0.00016931    -1.7999e-04
 1066.000 0.00009668     2.5860e-04
 1067.000 0.00014181    -1.4785e-04
 1068.000 0.00013477     1.9771e-05
 1069.000 0.00013438     1.0866e-04
 1070.000 0.00016432    -2.7244e-04
 1071.000 0.00009662     3.9527e-04
 1072.000 0.00018567    -3.6812e-04
 1073.000 0.00013665     2.4880e-04
 1074.000 0.00017023    -1.3146e-04
 1075.000 0.00015551    -1.2751e-05
 1076.000 0.00011959     5.5267e-05
 1077.000 0.00013830     1.1946e-04
 1078.000 0.00019527    -3.0356e-04
 1079.000 0.00011767     2.8737e-04
 1080.000 0.00016163    -1.1656e-04
 1081.000 0.00016698    -5.2775e-05
 1082.000 0.00013971     1.3195e-04
 1083.000 0.00016691    -1.4819e-04
 1084.000 0.00013128     8.3826e-05
 1085.000 0.00011332    -8.1095e-05
 1086.000 0.00007593     1.2397e-04
 1087.000 0.00012099     7.9899e-05
