Lick_bg_nearIR	Lick_bg_nearIR
Infrared	Infrared
nm	nm
	
933.0399	2.161177
933.14	2.962465
933.2401	3.004093
933.34	2.950739
933.4401	2.578684
933.5399	2.708544
933.64	1.569468
933.7401	1.960682
933.84	2.422252
933.9401	2.545155
934.0399	13.223012
934.14	2.021315
934.2401	2.22783
934.34	2.979578
934.4401	2.473101
934.54	1.069977
934.64	0.940909
934.7401	1.931421
934.84	1.542639
934.9401	2.75461
935.0399	2.978415
935.14	3.037826
935.2401	3.022573
935.34	2.903122
935.4401	3.012767
935.5399	2.133851
935.64	1.056695
935.7401	1.901505
935.84	2.894655
935.9401	2.575903
936.0399	0.873967
936.14	1.262123
936.2401	2.907066
936.34	2.825745
936.4401	2.933416
936.5399	2.965104
936.64	2.914974
936.7401	1.837052
936.84	2.404686
936.9399	2.048426
937.04	2.9106
937.14	2.320314
937.2401	1.828977
937.34	1.813403
937.4401	1.348138
937.5399	2.782039
937.64	7.152765
937.7401	7.009393
937.84	80.211403
937.9401	4.038455
938.0399	1.342967
938.14	2.811958
938.2401	2.357191
938.34	1.368008
938.4401	1.986319
938.5399	5.520426
938.64	2.873988
938.7401	3.035962
938.84	3.076145
938.9401	9.07712
939.0399	2.50671
939.14	3.046875
939.2401	3.071681
939.34	3.028422
939.4399	2.698985
939.54	3.076506
939.64	3.030438
939.7401	2.985566
939.84	2.990271
939.9401	4.052474
940.0399	3.177642
940.14	2.214833
940.2401	2.64224
940.34	2.963909
940.4401	12.776024
940.5399	3.858308
940.64	2.831273
940.7401	2.89989
940.84	3.005278
940.9401	2.71196
941.0399	3.051808
941.14	2.641827
941.2401	2.423125
941.34	2.027442
941.4401	2.853394
941.5399	2.977834
941.64	2.75362
941.7401	3.03716
941.84	3.052884
941.9399	3.258295
942.04	1.756324
942.14	3.189391
942.2401	20.198452
942.34	2.902771
942.4401	4.134169
942.5399	4.672471
942.64	3.036933
942.7401	2.948886
942.84	2.773268
942.9401	1.09274
943.0399	1.47267
943.14	2.06413
943.2401	2.751535
943.34	1.885783
943.4401	2.979117
943.5399	3.035882
943.64	3.043704
943.7401	3.034962
943.84	3.022234
943.9401	2.837166
944.0399	1.241668
944.14	4.186945
944.2401	50.925926
944.34	0.336019
944.4401	2.372553
944.54	2.151139
944.64	2.307906
944.7401	2.794638
944.84	2.422889
944.9401	3.235326
945.0399	3.961304
945.14	2.793827
945.2401	2.695289
945.34	2.815321
945.4401	3.01993
945.5399	2.98406
945.64	2.364252
945.7401	2.023522
945.84	1.947773
945.9401	2.427179
946.04	5.131635
946.14	23.670164
946.2401	1.516735
946.34	1.696601
946.4401	2.146025
946.5399	2.990072
946.64	2.938205
946.7401	2.774223
946.84	2.723802
946.9401	2.926933
947.0399	2.797496
947.14	2.221552
947.2401	2.260882
947.34	2.790867
947.4401	3.077485
947.5399	2.990594
947.64	2.776695
947.7401	2.092524
947.84	2.712373
947.9401	65.96003
948.0399	4.220767
948.14	2.972038
948.2401	2.056108
948.34	1.993157
948.4401	1.113244
948.54	2.540407
948.64	3.004224
948.7401	2.969535
948.84	2.856513
948.9401	2.901651
949.0399	2.868499
949.14	3.046636
949.2401	2.96675
949.34	3.024287
949.4401	2.945282
949.5399	2.700017
949.64	1.331199
949.7401	1.870649
949.84	2.882767
949.9401	2.489503
950.0399	2.044537
950.14	2.750768
950.2401	2.357656
950.34	1.071561
950.4401	1.716027
950.5399	22.39888
950.64	3.019321
950.7401	2.886037
950.84	2.424062
950.9399	2.996349
951.04	2.989648
951.14	2.971714
951.2401	3.005713
951.34	2.723466
951.4401	3.019073
951.5399	2.913616
951.64	2.746661
951.7401	2.853468
951.84	2.881296
951.9401	1.506345
952.0399	2.44642
952.14	16.937231
952.2401	21.160152
952.34	2.866978
952.4401	1.812406
952.5399	2.050811
952.64	2.824245
952.7401	2.405901
952.84	2.852444
952.9401	2.915617
953.0399	2.562684
953.14	2.181051
953.2401	2.72035
953.34	2.981989
953.4399	2.786254
953.54	2.980489
953.64	2.892812
953.7401	2.946929
953.84	1.936873
953.9401	2.770391
954.0399	2.891395
954.14	2.783286
954.2401	2.995579
954.34	2.398207
954.4401	2.918616
954.5399	2.85218
954.64	1.169752
954.7401	2.248347
954.84	2.622805
954.9401	2.838653
955.0399	2.978317
955.14	2.631851
955.2401	2.89555
955.34	2.857758
955.4401	3.969463
955.5399	14.388232
955.64	1.829223
955.7401	2.627254
955.84	2.625838
955.9401	2.284208
956.04	2.377301
956.14	2.791514
956.2401	3.005858
956.34	3.020746
956.4399	2.954227
956.5399	2.407768
956.64	2.552688
956.7401	2.254029
956.84	2.660292
956.9401	11.305761
957.0399	18.540674
957.14	2.428893
957.2401	2.915681
957.34	2.617722
957.4401	2.697397
957.54	2.91541
957.64	3.011761
957.7401	3.00484
957.84	2.924484
957.9401	2.813961
958.0399	2.985561
958.14	2.938751
958.2401	1.97164
958.34	2.068872
958.4401	2.409988
958.5399	2.983954
958.64	2.971871
958.7401	2.951391
958.84	2.858757
958.9401	2.81491
959.0399	2.869354
959.14	1.935477
959.2401	2.008978
959.34	2.559869
959.4401	2.435424
959.5399	2.41446
959.64	2.779528
959.7401	2.65054
959.84	2.957947
959.9401	2.841762
960.04	2.444936
960.14	2.527185
960.2401	2.917833
960.34	2.836664
960.4401	2.965832
960.5399	2.983288
960.64	2.902451
960.7401	2.160821
960.84	2.508432
960.9401	2.895484
961.0399	8.82337
961.14	2.943707
961.2401	2.668568
961.34	2.905378
961.4401	3.000936
961.5399	2.990095
961.64	2.890575
961.7401	2.576029
961.84	2.735454
961.9401	2.998277
962.0399	2.736875
962.14	2.89019
962.2401	2.707823
962.34	10.141126
962.4399	5.238856
962.54	2.459913
962.64	2.964609
962.7401	2.798491
962.84	2.525026
962.9401	2.570924
963.0399	2.916295
963.14	2.853137
963.2401	2.963435
963.34	2.986268
963.4401	3.000534
963.5399	2.992907
963.64	2.967628
963.7401	2.969271
963.84	2.518041
963.9401	2.379368
964.0399	2.180615
964.14	2.939797
964.2401	2.831279
964.34	2.682837
964.4401	2.98576
964.5399	2.752056
964.64	2.904631
964.7401	2.532012
964.84	2.211106
964.9399	2.641406
965.04	2.964633
965.14	2.85765
965.2401	2.971209
965.34	2.956449
965.4401	2.974804
965.5399	2.939348
965.64	3.1686
965.7401	2.83563
965.84	3.129725
965.9401	2.895303
966.0399	2.836205
966.14	4.352756
966.2401	3.141458
966.34	2.664384
966.4401	2.628141
966.5399	3.203743
966.64	2.884417
966.7401	2.631255
966.84	2.965478
966.9401	2.808913
967.0399	3.31326
967.14	11.638424
967.2401	2.73629
967.34	2.526006
967.4399	2.977593
967.54	2.982852
967.64	4.855424
967.7401	4.551641
967.84	2.982867
967.9401	2.984969
968.0399	2.983608
968.14	2.979093
968.2401	4.843231
968.34	4.619461
968.4401	12.381544
968.5399	12.383062
968.64	2.965827
968.7401	2.97563
968.84	2.946999
968.9401	2.937865
969.0399	2.969644
969.14	2.956249
969.2401	3.5113
969.34	11.481749
969.4401	2.84037
969.5399	2.961017
969.64	2.970449
969.7401	2.905242
969.84	2.977013
969.9401	2.978731
970.0399	2.94475
970.14	14.820917
970.2401	31.217388
970.34	2.839956
970.4399	2.543037
970.5399	2.968173
970.64	2.976427
970.7401	2.969787
970.84	2.958101
970.9401	2.977726
971.0399	2.971615
971.14	2.804688
971.2401	2.959631
971.34	3.018182
971.4401	19.70631
971.54	2.9775
971.64	2.968172
971.7401	2.752279
971.84	2.61002
971.9401	2.956403
972.0399	2.967268
972.14	2.989548
972.2401	54.198914
972.34	3.576328
972.4401	2.966876
972.5399	2.764302
972.64	2.82666
972.7401	2.740387
972.84	2.960636
972.9401	2.936995
973.0399	2.928487
973.14	2.945965
973.2401	2.956724
973.34	2.755531
973.4401	2.955345
973.5399	2.962277
973.64	2.957649
973.7401	3.082537
973.84	3.045031
973.9401	2.515277
974.04	17.363094
974.14	6.775685
974.2401	2.958648
974.34	2.953832
974.4401	2.919141
974.5399	2.859246
974.64	2.348147
974.7401	3.294128
974.84	3.557566
974.9401	3.384586
975.0399	2.939852
975.14	2.747832
975.2401	2.54514
975.34	2.951318
975.4401	2.956185
975.5399	2.939805
975.64	2.583636
975.7401	2.925742
975.84	2.882888
975.9401	2.909677
976.0399	2.37817
976.14	2.883208
976.2401	2.945537
976.34	2.952223
976.4399	2.86726
976.54	2.568592
976.64	2.868941
976.7401	2.907604
976.84	2.802414
976.9401	2.952678
977.0399	2.950624
977.14	2.881374
977.2401	2.951527
977.34	2.953977
977.4401	2.950184
977.5399	2.948593
977.64	2.782682
977.7401	2.912844
977.84	2.940689
977.9401	2.829209
978.0399	2.940973
978.14	2.896857
978.2401	2.785751
978.34	2.942821
978.4401	2.844821
978.5399	2.550224
978.64	2.933808
978.7401	2.945201
978.84	2.936013
978.9399	2.880385
979.04	2.912891
979.14	4.765384
979.2401	16.338499
979.34	88.456497
979.4401	39.913559
979.5399	2.820397
979.64	2.655415
979.7401	2.925898
979.84	3.039099
979.9401	7.358871
980.0399	2.937412
980.14	3.118228
980.2401	47.698849
980.34	2.95743
980.4401	2.603119
980.5399	2.870601
980.64	2.873925
980.7401	2.93536
980.84	2.931432
980.9401	2.993772
981.0399	3.925957
981.14	3.759179
981.2401	2.935794
981.34	2.933254
981.4399	16.758112
981.54	4.338612
981.64	2.868771
981.7401	2.934005
981.84	2.876973
981.9399	3.087811
982.0399	3.043424
982.14	2.936939
982.2401	2.935893
982.34	2.933648
982.4401	2.828197
982.5399	2.931542
982.64	3.125965
982.7401	3.200177
982.84	2.753082
982.9401	2.883615
983.0399	4.799877
983.14	5.151211
983.2401	2.929218
983.34	2.905146
983.4401	2.828083
983.5399	2.918199
983.64	2.930336
983.7401	2.9297
983.84	2.909928
983.9401	2.928544
984.0399	2.926802
984.14	2.921562
984.2401	2.91633
984.34	2.923375
984.4401	2.925664
984.5399	2.863392
984.64	2.887081
984.7401	3.064613
984.84	2.915476
984.9401	2.916761
985.0399	4.637349
985.14	32.530197
985.2401	2.908762
985.34	2.907899
985.4401	2.920509
985.54	2.915349
985.64	2.922083
985.7401	2.918023
985.84	2.921337
985.9401	2.910985
986.0399	2.915646
986.14	2.921496
986.2401	2.920597
986.34	2.916911
986.4401	2.919689
986.5399	2.920011
986.64	2.919233
986.7401	2.917816
986.84	2.907411
986.9401	2.916786
987.0399	2.900195
987.14	2.927605
987.2401	2.916953
987.34	2.904024
987.4401	65.858475
987.5399	44.338558
987.64	2.876387
987.7401	2.905167
987.84	2.915178
987.9399	2.914714
988.04	2.909878
988.14	2.904008
988.2401	2.913705
988.34	2.913251
988.4401	2.912935
988.5399	2.91254
988.64	2.91203
988.7401	2.90934
988.84	2.931261
988.9401	2.931369
989.0399	2.909256
989.14	2.908813
989.2401	2.90922
989.34	2.908785
989.4401	2.907204
989.5399	2.908862
989.64	2.935727
989.7401	40.879025
989.84	3.101797
989.9401	2.904923
990.0399	2.903769
990.14	2.892968
990.2401	2.886787
990.34	2.903645
990.4399	2.926836
990.54	2.905201
990.64	2.904773
990.7401	2.902005
990.84	2.903121
990.9401	2.903703
991.0399	2.901513
991.14	2.894549
991.2401	2.900548
991.34	2.899271
991.4401	2.900906
991.5399	2.901478
991.64	3.96173
991.7401	108.705345
991.84	3.687635
991.9401	2.899909
992.0399	2.899636
992.14	2.899045
992.2401	2.894836
992.34	2.893391
992.4401	2.898156
992.5399	2.897786
992.64	2.897323
992.7401	2.896927
992.84	2.892776
992.9399	2.864843
993.04	2.891295
993.14	2.890705
993.2401	2.89416
993.34	2.893197
993.4401	2.894438
993.5399	2.894091
993.64	2.894561
993.7401	2.891912
993.84	2.891412
993.9401	2.892588
994.0399	2.892244
994.14	2.891875
994.2401	2.890794
994.34	2.974195
994.4401	36.963066
994.5399	10.354997
994.64	2.890029
994.7401	11.921847
994.84	30.150593
994.9401	46.0807
995.0399	15.782494
995.14	7.529466
995.2401	5.588553
995.34	2.896177
995.4401	2.886262
995.5399	2.886184
995.64	2.886336
995.7401	2.885928
995.84	3.304096
995.9399	65.74205
996.0399	2.918638
996.14	2.88434
996.2401	3.32735
996.34	5.030378
996.4401	56.99453
996.5399	17.878725
996.64	2.88265
996.7401	2.882256
996.84	2.881224
996.9401	2.880295
997.04	2.876854
997.14	2.880854
997.2401	2.879694
997.34	2.883607
997.4401	5.206844
997.5399	16.589388
997.64	2.878972
997.7401	2.877282
997.84	2.878226
997.9401	2.892983
998.0399	3.201238
998.14	3.213553
998.2401	2.87736
998.34	2.881333
998.4401	2.876017
998.5399	2.875648
998.64	2.872833
998.7401	2.872447
998.84	2.874541
998.9401	2.873666
999.0399	2.873807
999.14	2.87181
999.2401	2.872873
999.34	2.872704
999.4399	2.872335
999.54	2.862225
999.64	2.869695
999.7401	2.871171
999.84	2.870863
999.9401	2.870496
1000.04	2.868587
1000.14	2.865898
1000.2401	14.729726
1000.34	5.984185
1000.4401	2.885702
1000.54	2.948329
1000.64	2.868051
1000.7401	2.867553
1000.84	2.867185
1000.9401	2.866817
1001.04	2.86645
1001.14	2.866082
1001.2401	2.865251
1001.34	4.366639
1001.4401	12.645534
1001.54	107.151611
1001.64	24.701847
1001.7401	15.303507
1001.84	2.862299
1001.9401	2.827241
1002.04	2.860559
1002.14	2.851155
1002.2401	2.862011
1002.34	3.362552
1002.4401	5.970372
1002.54	2.856966
1002.64	2.854063
1002.7401	4.629835
1002.84	44.330963
1002.9401	2.860365
1003.04	2.859102
1003.14	2.858735
1003.2401	2.858367
1003.34	2.865873
1003.4401	2.860091
1003.54	2.867093
1003.64	2.863627
1003.7401	2.856531
1003.84	2.856165
1003.9401	2.847556
1004.04	4.355899
1004.14	2.93135
1004.2401	2.854698
1004.34	2.854172
1004.4401	2.844795
1004.54	3.188127
1004.64	19.425232
1004.7401	2.856392
1004.84	2.85248
1004.9401	2.852089
1005.04	2.85053
1005.14	2.84974
1005.2401	2.85103
1005.34	2.850664
1005.4401	2.850242
1005.54	2.847753
1005.64	2.837583
1005.7401	2.849197
1005.84	2.848831
1005.9401	2.848464
1006.04	2.848139
1006.14	6.627311
1006.2401	4.72581
1006.34	26.030996
1006.4401	3.05025
1006.54	2.846746
1006.64	2.84336
1006.7401	2.844314
1006.84	2.845167
1006.9401	4.802648
1007.04	6.865283
1007.14	2.844025
1007.2401	2.921224
1007.34	9.680905
1007.4401	6.919852
1007.54	2.842522
1007.64	2.84086
1007.7401	2.841502
1007.84	2.841506
1007.9401	2.84107
1008.04	2.824651
1008.14	2.840257
1008.2401	2.83982
1008.34	2.839676
1008.4401	5.368396
1008.54	76.394424
1008.64	2.845118
1008.7401	2.838213
1008.84	2.837848
1008.9401	2.82884
1009.04	2.828635
1009.14	2.836503
1009.2401	3.002243
1009.34	2.914485
1009.4401	2.824739
1009.54	2.814883
1009.64	2.834438
1009.7401	2.828906
1009.84	2.834682
1009.9401	4.542025
1010.04	2.977144
1010.14	2.833091
1010.2401	2.824477
1010.34	2.83153
1010.4401	2.831996
1010.54	2.932808
1010.64	33.720772
1010.7401	2.880702
1010.84	2.827311
1010.9401	2.829986
1011.04	2.829425
1011.14	2.829441
1011.2401	2.827043
1011.34	2.828683
1011.4401	2.828123
1011.54	2.827873
1011.64	2.827778
1011.7401	2.826796
1011.84	2.823501
1011.9401	2.825451
1012.04	2.826155
1012.14	2.813578
1012.2401	2.821677
1012.34	2.825061
1012.4401	3.002629
1012.54	4.242161
1012.64	67.479179
1012.7401	28.224737
1012.84	2.90298
1012.9401	2.823211
1013.04	2.822507
1013.14	2.821801
1013.2401	2.81774
1013.34	2.821413
1013.4401	3.452861
1013.54	4.898515
1013.64	3.512416
1013.7401	2.819955
1013.84	2.819591
1013.9401	2.819226
1014.04	2.818861
1014.14	2.818497
1014.2401	2.818132
1014.34	2.814598
1014.4401	2.814655
1014.54	2.979357
1014.64	4.145045
1014.7401	3.00201
1014.84	3.066399
1014.9401	3.361925
1015.04	2.83187
1015.14	7.216649
1015.2401	4.632256
1015.34	2.814126
1015.4401	2.813947
1015.54	28.235437
1015.64	8.281788
1015.7401	2.816504
1015.84	2.813279
1015.9401	2.81194
1016.04	3.472535
1016.14	24.662853
1016.2401	2.821058
1016.34	2.810498
1016.4401	2.810168
1016.54	2.809836
1016.64	3.707418
1016.7401	13.317045
1016.84	2.805435
1016.9401	2.806485
1017.04	2.829774
1017.14	2.80782
1017.2401	2.807218
1017.34	3.083751
1017.4401	100.350288
1017.54	36.586998
1017.64	2.847145
1017.7401	2.88158
1017.84	2.805251
1017.9401	2.804404
1018.04	2.804302
1018.14	2.803938
1018.2401	2.803576
1018.34	21.416641
1018.4401	12.572217
1018.54	2.802482
1018.64	2.800872
1018.7401	2.801776
1018.84	2.801403
1018.9401	2.801032
1019.04	2.800668
1019.14	2.857445
1019.2401	122.893471
1019.34	4.829391
1019.4401	2.79516
1019.54	2.798847
1019.64	2.798489
1019.7401	2.798126
1019.84	2.797764
1019.9401	2.7974
1020.04	2.797045
1020.14	3.080371
1020.2401	3.061322
1020.34	2.833294
1020.4401	2.793839
1020.54	34.666828
1020.64	20.890247
1020.7401	2.794497
1020.84	2.794133
1020.9401	2.793772
1021.04	2.794137
1021.14	20.676107
1021.2401	3.378033
1021.34	91.533768
1021.4401	64.651978
1021.54	2.791583
1021.64	2.789567
1021.7401	2.783632
1021.84	2.791675
1021.9401	2.793967
1022.04	2.789782
1022.14	2.78942
1022.2401	2.789057
1022.34	2.788696
1022.4401	2.789895
1022.54	2.803394
1022.64	2.794381
1022.7401	2.952589
1022.84	35.615322
