#wavelength (nm)	Transmission (fraction)
1363.39	0.642113
1363.87	0.63582
1364.34	0.629528
1364.81	0.621666
1365.28	0.614328
1365.47	0.603857
1365.92	0.593903
1365.87	0.586055
1365.55	0.577168
1366.28	0.568776
1366.99	0.558815
1366.93	0.550444
1367.91	0.541522
1367.87	0.535244
1368.07	0.526343
1368.28	0.518488
1368.49	0.51168
1368.67	0.500163
1369.12	0.489162
1369.05	0.479222
1370.28	0.4682
1369.95	0.45722
1370.11	0.442564
1370.85	0.437311
1371.32	0.428926
1371.76	0.416879
1371.43	0.406946
1371.39	0.401714
1372.12	0.393845
1372.85	0.385977
1373.02	0.373413
1373.2	0.36085
1373.89	0.347226
1374.32	0.334656
1375.02	0.322602
1374.96	0.313185
1375.15	0.302191
1375.33	0.290674
1375.78	0.280197
1376.22	0.268149
1376.66	0.256102
1377.64	0.24718
1378.11	0.240888
1378.07	0.23461
1378.29	0.227801
1378.24	0.220477
1378.7	0.211569
1379.45	0.207885
1380.19	0.201063
1380.15	0.195308
1380.88	0.188486
1380.83	0.180638
1380.53	0.175413
1381.76	0.163868
1382.21	0.153914
1382.67	0.145006
1382.88	0.138197
1383.36	0.131382
1385.38	0.122954
1385.59	0.115623
1385.53	0.106206
1386	0.0988673
1386.74	0.0936143
1387.23	0.0883685
1388.24	0.0846779
1388.99	0.0799482
1389.74	0.0752184
1389.71	0.0699866
1390.95	0.0615805
1391.43	0.0558114
1391.98	0.0605059
1393.26	0.0568083
1393.46	0.0489536
1393.95	0.0442309
1394.69	0.0379316
1395.18	0.0326857
1397.3	0.0389072
1398.28	0.0299849
1399.77	0.019479
1401.61	0.0230917
1402.88	0.0178246
1404.67	0.0146361
1406.52	0.0182488
1408.55	0.0108678
1411.42	0.0128826
1412.43	0.00866896
1413.72	0.00706407
1415.56	0.0101536
1417.1	0.00644894
1417.87	0.0048582
1419.96	0.0068943
1420.42	0.00247038
1421.36	0.000328689
1423.66	0.00765767
1424.84	0.000178692
1427.16	0.000204778
1428.53	0.0063077
1429.48	0.00116737
1430.87	0.000714768
1432.24	0.00822244
1432.96	0.000738246
1433.87	0.00683595
1434.58	0.00169301
1436.44	0.00124563
1437.59	0.00687769
1438.3	0.00173475
1440.16	0.000819114
1441.07	0.00644856
1443.87	7.56506E-05
1444.78	0.00695855
1445.95	0.00275734
1447.09	0.0111989
1448.28	0.000442165
1449.2	0.00373036
1450.34	0.0112354
1451.28	0.00609509
1451.97	0.00938068
1453.15	0.00143345
1453.36	0.00892808
1454.3	0.00472425
1455.91	0.0103615
1456.85	0.00568945
1456.84	0.0117767
1458.71	0.00524207
1459.62	0.0122763
1461.03	0.00807766
1462.16	0.0165192
1464.05	0.00764332
1464.49	0.0165453
1465.66	0.0114076
1466.56	0.0212513
1468.44	0.0123754
1469.13	0.0142562
1469.35	0.0208144
1470.97	0.0217691
1470.96	0.0255151
1472.35	0.0274038
1474.44	0.0274273
1475.59	0.0311863
1476.97	0.0358845
1477.88	0.0401092
1478.33	0.0457334
1479.51	0.0391909
1479.93	0.0546485
1481.77	0.0612248
1484.53	0.0701529
1485.67	0.079531
1487.96	0.0898586
1489.55	0.100647
1490.69	0.109088
1492.06	0.119405
1493.4	0.138151
1494.5	0.157831
1495.61	0.178915
1497.41	0.198134
1498.05	0.21734
1499.39	0.238896
1500.71	0.265133
1501.8	0.289027
1502.93	0.301215
1503.09	0.327439
1505.33	0.355561
1506.4	0.387415
1507.98	0.405695
1509.73	0.442708
1511.5	0.476911
1513.5	0.508775
1514.85	0.523307
1515.28	0.536423
1517.32	0.55424
1517.51	0.570163
1518.65	0.574391
1519.3	0.593128
1521.58	0.608607
1522.95	0.61471
1526.12	0.644714
1527.48	0.655968
1529.53	0.67238
1530.89	0.682697
1533.4	0.698647
1534.98	0.713649
1537.95	0.731945
1541.15	0.750711
1543.45	0.756356
1544.11	0.769475
1545.72	0.776049
1546.17	0.783078
1548.71	0.786853
1549.62	0.791546
1551.69	0.798593
1552.86	0.79486
1553.31	0.800484
1554.02	0.798151
1554.94	0.801439
1556.34	0.798645
1557.25	0.805679
1558.88	0.801483
1559.8	0.804303
1560.98	0.798697
1561.9	0.800112
1563.53	0.799194
1564.47	0.795459
1565.87	0.791728
1567.27	0.788934
1569.37	0.786148
1570.77	0.783355
1572.63	0.781971
1573.11	0.776825
1574.96	0.780124
1576.13	0.776859
1577.06	0.774996
1578.46	0.773607
1579.85	0.775028
1581.02	0.770827
1581.95	0.768964
1582.87	0.771316
1583.81	0.768048
1585.2	0.771342
1586.14	0.76667
1586.82	0.772765
1587.99	0.767627
1588.91	0.770915
1589.38	0.767643
1590.75	0.775619
1591.7	0.768605
1592.38	0.773764
1593.09	0.769089
1593.53	0.779396
1594.93	0.778475
1595.15	0.781755
1596.09	0.77802
1596.54	0.782708
1597.46	0.784123
1599.32	0.785548
1600.7	0.786969
1602.55	0.792609
1603.71	0.790749
1605.09	0.797788
1607.18	0.794066
1607.63	0.800626
1607.85	0.804843
1609.25	0.803922
1611.09	0.807689
1612.48	0.808641
1614.57	0.811006
1615.49	0.81289
1617.35	0.811974
1618.26	0.817135
1619.89	0.817622
1621.26	0.823725
1622.44	0.816714
1623.82	0.82188
1625.22	0.819555
1627.31	0.818642
1627.53	0.823795
1628.68	0.827554
1628.93	0.822406
1629.86	0.819607
1631.25	0.821964
1631.95	0.819162
1632.88	0.821046
1633.82	0.81731
1634.74	0.81732
1636.14	0.815931
1639.16	0.815497
1641.47	0.819269
1641.95	0.813655
1643.82	0.80993
1644.27	0.812745
1646.37	0.810895
1646.84	0.808559
1647.77	0.807165
1649.17	0.806244
1650.79	0.805326
1651.72	0.805804
1652.64	0.809093
1653.11	0.807693
1655.2	0.804907
1655.2	0.804907
1655.89	0.808193
1657.76	0.804936
1658.91	0.809631
1660.31	0.805901
1661.47	0.805914
1663.33	0.80453
1664.25	0.80735
1664.94	0.809699
1666.57	0.809249
1666.57	0.809249
1667.73	0.808794
1669.12	0.809746
1669.81	0.811627
1671.66	0.813989
1672.35	0.815402
1673.29	0.813071
1674.44	0.814489
1675.6	0.817311
1676.06	0.819189
1677.21	0.821075
1678.6	0.823901
1678.84	0.819689
1680.46	0.822049
1681.15	0.824398
1682.31	0.825347
1683.7	0.824895
1684.15	0.829114
1684.61	0.830524
1686.23	0.833352
1687.86	0.832434
1689.48	0.832452
1689.7	0.837137
1689.47	0.838539
1691.33	0.836219
1692.25	0.838102
1692.94	0.841388
1693.63	0.844205
1693.63	0.844205
1695.96	0.842358
1696.65	0.844707
1698.03	0.846128
1698.96	0.848011
1701.27	0.849442
1702.43	0.853201
1704.28	0.852754
1705.22	0.84855
1706.37	0.852777
1708.46	0.852801
1709.4	0.850001
1710.34	0.846734
1711.25	0.850959
1712.87	0.851914
1713.58	0.848175
1715.9	0.850074
1716.83	0.848212
1718	0.845415
1719.4	0.842622
1720.55	0.846381
