# lambda(nm)  coeff spline
  963.000 0.00017472    -2.6552e-04
  964.000 0.00009391     4.7284e-04
  965.000 0.00022224    -3.7102e-04
  966.000 0.00019257     6.3219e-05
  967.000 0.00015158     5.0220e-05
  968.000 0.00014734    -4.3599e-05
  969.000 0.00014290     1.2297e-04
  970.000 0.00017960    -2.0146e-04
  971.000 0.00013946     2.2183e-04
  972.000 0.00017031    -2.5991e-04
  973.000 0.00010114     2.1770e-04
  974.000 0.00012330    -6.2892e-05
  975.000 0.00014409     2.5652e-05
  976.000 0.00016146    -6.0236e-05
  977.000 0.00015764     8.8152e-05
  978.000 0.00018095    -1.2959e-04
  979.000 0.00014331     6.4512e-05
  980.000 0.00012886     1.0684e-05
  981.000 0.00013485     1.5393e-05
  982.000 0.00013971    -7.9035e-05
  983.000 0.00010166     4.3288e-05
  984.000 0.00011464     2.1206e-04
  985.000 0.00021878    -3.4458e-04
  986.000 0.00014685     1.0986e-04
  987.000 0.00011240     1.3004e-04
  988.000 0.00017019    -7.6589e-05
  989.000 0.00018684    -7.0529e-05
  990.000 0.00014850     2.8763e-05
  991.000 0.00013562     1.0824e-04
  992.000 0.00016978    -1.7947e-04
  993.000 0.00014104     2.3224e-04
  994.000 0.00018922    -2.8798e-04
  995.000 0.00011781     2.0212e-04
  996.000 0.00011852    -8.7794e-05
  997.000 0.00011506     1.2403e-04
  998.000 0.00016473    -8.9561e-05
  999.000 0.00016889    -3.8849e-05
 1000.000 0.00013986     4.5818e-05
 1001.000 0.00014245     4.5290e-05
 1002.000 0.00016134    -1.2918e-04
 1003.000 0.00012589     1.4537e-04
 1004.000 0.00015611    -5.8242e-05
 1005.000 0.00014835    -1.4027e-04
 1006.000 0.00009684     3.5685e-04
 1007.000 0.00020609    -3.2255e-04
 1008.000 0.00018146     1.3003e-04
 1009.000 0.00017537    -8.6327e-05
 1010.000 0.00015327     1.1923e-04
 1011.000 0.00017154    -1.4840e-04
 1012.000 0.00013736     1.5963e-04
 1013.000 0.00015289    -1.9183e-04
 1014.000 0.00010631     2.3506e-04
 1015.000 0.00015107    -2.0038e-04
 1016.000 0.00012719     1.5461e-04
 1017.000 0.00015063    -1.3411e-04
 1018.000 0.00015068     2.4148e-04
 1019.000 0.00021596    -4.4046e-04
 1020.000 0.00011088     4.9819e-04
 1021.000 0.00018481    -4.7817e-04
 1022.000 0.00011946     5.7878e-04
 1023.000 0.00024011    -7.2094e-04
 1024.000 0.00009721     7.2379e-04
 1025.000 0.00022364    -5.5825e-04
 1026.000 0.00015168     3.1886e-04
 1027.000 0.00017153    -1.6632e-04
 1028.000 0.00015602     1.3426e-04
 1029.000 0.00017620    -1.5657e-04
 1030.000 0.00014324     1.7319e-04
 1031.000 0.00018103    -1.1170e-04
 1032.000 0.00016982    -2.0410e-05
 1033.000 0.00016041     2.0414e-04
 1034.000 0.00022755    -3.3683e-04
 1035.000 0.00014305     2.3335e-04
 1036.000 0.00015088    -4.2591e-05
 1037.000 0.00016310    -3.6645e-05
 1038.000 0.00014340    -2.3484e-06
 1039.000 0.00012114     3.0679e-05
 1040.000 0.00014006     1.2671e-04
 1041.000 0.00019523    -3.2004e-04
 1042.000 0.00011884     3.6407e-04
 1043.000 0.00018089    -3.0560e-04
 1044.000 0.00012967     1.7870e-04
 1045.000 0.00013301    -8.1848e-05
 1046.000 0.00012300     6.8590e-05
 1047.000 0.00015437     5.5769e-05
 1048.000 0.00020230    -1.9230e-04
 1049.000 0.00013852     4.3190e-05
 1050.000 0.00010118     1.7818e-04
 1051.000 0.00016776    -1.3240e-04
 1052.000 0.00017307    -1.6184e-05
 1053.000 0.00013867    -4.1118e-05
 1054.000 0.00010575     1.8954e-04
 1055.000 0.00016212    -1.8129e-04
 1056.000 0.00014025     6.6185e-05
 1057.000 0.00012840    -2.3329e-05
 1058.000 0.00012342     6.8352e-05
 1059.000 0.00015544    -2.8080e-05
 1060.000 0.00016625    -8.3293e-05
 1061.000 0.00014575     1.7339e-04
 1062.000 0.00019878    -1.6909e-04
 1063.000 0.00016224    -3.4453e-05
 1064.000 0.00011884     2.6574e-04
 1065.000 0.00019809    -2.9262e-04
 1066.000 0.00015961     1.9834e-04
 1067.000 0.00017990    -1.4812e-04
 1068.000 0.00014741     7.7477e-05
 1069.000 0.00015527     8.0317e-05
 1070.000 0.00018106    -2.9116e-04
 1071.000 0.00010090     4.4864e-04
 1072.000 0.00021045    -3.6514e-04
 1073.000 0.00017537     1.4414e-04
 1074.000 0.00016986    -3.3994e-05
 1075.000 0.00015980    -3.5461e-05
 1076.000 0.00013286     7.4559e-05
 1077.000 0.00015017     2.7249e-06
 1078.000 0.00015747    -1.4552e-04
 1079.000 0.00010517     2.2175e-04
 1080.000 0.00016585    -6.3600e-05
 1081.000 0.00017967    -2.4851e-04
 1082.000 0.00009321     4.5595e-04
 1083.000 0.00018778    -4.8912e-04
 1084.000 0.00009774     3.9288e-04
 1085.000 0.00014247    -2.7376e-04
 1086.000 0.00010130     1.8676e-04
 1087.000 0.00013395    -3.0365e-05
 1088.000 0.00016466    -7.6943e-05
 1089.000 0.00015213     7.8695e-05
 1090.000 0.00014288    -2.1816e-04
 1091.000 0.00007487     4.4137e-04
 1092.000 0.00019419    -4.2335e-04
 1093.000 0.00013033     1.5295e-04
 1094.000 0.00012653     1.7192e-04
 1095.000 0.00020219    -3.6388e-04
 1096.000 0.00011409     3.0103e-04
 1097.000 0.00014190    -1.4480e-04
 1098.000 0.00014477     1.2852e-04
 1099.000 0.00019240    -1.0072e-04
 1100.000 0.00017758    -1.0033e-04
 1101.000 0.00011456     2.1284e-04
 1102.000 0.00017104    -3.4038e-05
 1103.000 0.00020691    -2.0035e-04
 1104.000 0.00013444     1.8540e-04
 1105.000 0.00014669    -3.2926e-05
 1106.000 0.00016067    -4.3317e-05
 1107.000 0.00014868     5.0373e-05
 1108.000 0.00014414    -1.1347e-04
 1109.000 0.00013250     3.6093e-04
 1110.000 0.00023463    -6.4761e-04
 1111.000 0.00008799     7.3690e-04
 1112.000 0.00022438    -6.0181e-04
 1113.000 0.00012982     2.8462e-04
 1114.000 0.00013936     8.7922e-05
 1115.000 0.00020923    -2.7433e-04
 1116.000 0.00015652     2.7391e-04
 1117.000 0.00020300    -2.2618e-04
