# lambda(nm)  coeff spline
 2133.000 0.99964702     1.9072e-05
 2133.500 0.99970502    -3.8888e-05
 2134.000 0.99975199    -1.2817e-04
 2134.500 0.99977499    -2.3515e-05
 2135.000 0.99949902    -6.9532e-03
 2135.500 0.99812901     1.5793e-03
 2136.000 0.99735498     1.4940e-02
 2136.500 0.99885899    -6.6646e-03
 2137.000 0.99974602    -3.0882e-03
 2137.500 0.99984401     8.0159e-05
 2138.000 0.99980801    -4.4827e-04
 2138.500 0.99970800     1.7655e-04
 2139.000 0.99962598     1.7408e-04
 2139.500 0.99960399     5.6766e-04
 2140.000 0.99968600     5.1522e-05
 2140.500 0.99978101    -4.6190e-04
 2141.000 0.99979699    -1.0079e-04
 2141.500 0.99978000     7.3970e-05
 2142.000 0.99965698    -2.7400e-03
 2142.500 0.99903500    -1.0889e-03
 2143.000 0.99840802     6.9754e-03
 2143.500 0.99887699    -5.0973e-04
 2144.000 0.99942601    -3.0153e-03
 2144.500 0.99948800     8.8210e-04
 2145.000 0.99954402    -6.5619e-04
 2145.500 0.99949098    -8.7517e-04
 2146.000 0.99930298     9.1821e-04
 2146.500 0.99912298    -2.6060e-03
 2147.000 0.99854201    -1.1734e-04
 2147.500 0.99790901     1.8265e-03
 2148.000 0.99752200    -1.2849e-03
 2148.500 0.99688601    -2.6620e-03
 2149.000 0.99588901     3.2682e-03
 2149.500 0.99545598     3.1246e-03
 2150.000 0.99580097     2.9060e-03
 2150.500 0.99589002    -2.0891e-02
 2151.000 0.99242800    -4.5670e-03
 2151.500 0.98878503     3.4816e-02
 2152.000 0.99053597    -5.2438e-03
 2152.500 0.99250603    -8.5826e-03
 2153.000 0.99315298     7.8197e-03
 2153.500 0.99453902    -4.9578e-03
 2154.000 0.99521899    -4.9344e-03
 2154.500 0.99472898    -3.3841e-03
 2155.000 0.99383903     8.8720e-03
 2155.500 0.99470299     9.9904e-03
 2156.000 0.99708301    -1.2448e-02
 2156.500 0.99781698     2.9825e-04
 2157.000 0.99802500    -1.3674e-03
 2157.500 0.99803299     3.7067e-04
 2158.000 0.99792200    -2.9705e-03
 2158.500 0.99685103    -1.1528e-02
 2159.000 0.99452800     1.9035e-02
 2159.500 0.99490702     2.3954e-04
 2160.000 0.99553400    -1.4042e-02
 2160.500 0.99289101    -2.2552e-02
 2161.000 0.98795003     4.9097e-02
 2161.500 0.99060798     8.5391e-03
 2162.000 0.99553198    -2.8868e-02
 2162.500 0.99493802    -2.5499e-02
 2163.000 0.98814899    -1.7819e-02
 2163.500 0.98156202     1.0162e-01
 2164.000 0.99004900    -2.6899e-02
 2164.500 0.99698901    -3.1155e-02
 2165.000 0.99764800     7.7297e-04
 2165.500 0.99717802     9.6740e-04
 2166.000 0.99607098    -1.9932e-02
 2166.500 0.99176502     1.9860e-03
 2167.000 0.98888499     4.6210e-02
 2167.500 0.99294901    -2.0169e-02
 2168.000 0.99396998    -3.8569e-02
 2168.500 0.98948598     4.2324e-02
 2169.000 0.99132001     2.0905e-02
 2169.500 0.99689102    -3.6258e-02
 2170.000 0.99739403     2.4932e-03
 2170.500 0.99724102     1.0541e-02
 2171.000 0.99867600    -6.5442e-03
 2171.500 0.99888599    -1.3764e-02
 2172.000 0.99468499    -4.4265e-02
 2172.500 0.98548901     7.0943e-02
 2173.000 0.98751098     2.9723e-02
 2173.500 0.99534303    -5.0394e-02
 2174.000 0.99560702    -9.7791e-03
 2174.500 0.99325103     2.6631e-02
 2175.000 0.99495602     7.1792e-04
 2175.500 0.99679101    -2.6383e-02
 2176.000 0.99481100     1.3254e-02
 2176.500 0.99484199     2.1631e-02
 2177.000 0.99828798    -1.7820e-02
 2177.500 0.99801397    -3.9632e-02
 2178.000 0.99008101    -7.4667e-03
 2178.500 0.98269302     8.2578e-02
 2179.000 0.98773402    -2.4550e-02
 2179.500 0.99245602     7.9664e-03
 2180.000 0.99697101    -1.2284e-02
 2180.500 0.99939698    -8.9682e-03
 2181.000 0.99983102     3.5026e-04
 2181.500 0.99989700    -1.2662e-03
 2182.000 0.99952900    -5.7009e-03
 2182.500 0.99647498    -4.0395e-02
 2183.000 0.98708701     1.5266e-02
 2183.500 0.98098898     5.8291e-02
 2184.000 0.98375201    -3.5765e-02
 2184.500 0.98264003    -8.2320e-03
 2185.000 0.98191398     7.7955e-02
 2185.500 0.99229199    -3.7092e-02
 2186.000 0.99866301    -2.5753e-02
 2186.500 0.99885899    -8.0948e-03
 2187.000 0.99675298     2.8848e-03
 2187.500 0.99482399     8.0402e-04
 2188.000 0.99389702     1.7947e-02
 2188.500 0.99592203    -1.7461e-03
 2189.000 0.99724698    -2.7764e-02
 2189.500 0.99472201     2.0405e-02
 2190.000 0.99425900    -4.3704e-03
 2190.500 0.99460399     1.6468e-02
 2191.000 0.99732000    -4.5984e-03
 2191.500 0.99953198    -1.0171e-02
 2192.000 0.99988198     5.9458e-04
 2192.500 0.99989802    -2.2250e-04
 2193.000 0.99989998    -4.2179e-05
 2193.500 0.99972802    -3.7830e-03
 2194.000 0.99766898    -3.0116e-02
 2194.500 0.99074602     7.5120e-03
 2195.000 0.98664898     6.7890e-02
 2195.500 0.99328399    -2.1502e-02
 2196.000 0.99800998    -2.7699e-02
 2196.500 0.99762303     9.5869e-03
 2197.000 0.99755901    -2.8983e-03
 2197.500 0.99541402    -4.7937e-02
 2198.000 0.98597199     1.9518e-02
 2198.500 0.97943097     3.9489e-02
 2199.000 0.97670001    -8.6033e-02
 2199.500 0.95937598    -4.5592e-02
 2200.000 0.93589902     1.2073e-01
 2200.500 0.93789101     1.7393e-01
 2201.000 0.96826297    -1.3533e-01
 2201.500 0.98005402    -7.8547e-02
 2202.000 0.97489399     4.2692e-02
 2202.500 0.97496700     3.3372e-02
 2203.000 0.98238701     1.4944e-04
 2203.500 0.98994899    -3.0562e-02
 2204.000 0.99027097    -5.1662e-02
 2204.500 0.98137301     1.5931e-02
 2205.000 0.97673899     9.0271e-02
 2205.500 0.98658401    -2.9517e-02
 2206.000 0.99420798    -2.5507e-02
 2206.500 0.99611801    -5.5898e-03
 2207.000 0.99618000     3.5132e-03
 2207.500 0.99679500     4.8094e-03
 2208.000 0.99827898    -1.8952e-03
 2208.500 0.99942303    -5.3868e-03
 2209.000 0.99960899     4.4839e-04
 2209.500 0.99951100    -3.2217e-03
 2210.000 0.99880803    -2.0812e-03
 2210.500 0.99703401    -1.4158e-02
 2211.000 0.99382901     2.4371e-02
 2211.500 0.99479800     1.6851e-02
 2212.000 0.99870598    -2.1238e-02
 2212.500 0.99975598    -4.8882e-04
 2213.000 0.99980402    -8.5323e-04
 2213.500 0.99957597    -2.7244e-03
 2214.000 0.99870098    -3.7760e-03
 2214.500 0.99729002     4.9652e-03
 2215.000 0.99661702     1.6263e-03
 2215.500 0.99442703    -4.7878e-02
 2216.000 0.98443502     2.6393e-03
 2216.500 0.97733599     1.0675e-01
 2217.000 0.98732901    -1.9440e-02
 2217.500 0.99659699    -4.6393e-02
 2218.000 0.99741501     2.2124e-03
 2218.500 0.99702400     8.5268e-03
 2219.000 0.99806899    -1.8558e-03
 2219.500 0.99882901    -7.9429e-03
 2220.000 0.99798501    -4.8691e-03
 2220.500 0.99496698    -2.4757e-02
 2221.000 0.98628700    -3.1990e-02
 2221.500 0.97577602     1.0877e-01
 2222.000 0.98257798     1.2414e-02
 2222.500 0.99394602    -4.8841e-02
 2223.000 0.99725598    -1.0443e-02
 2223.500 0.99667901    -2.6732e-03
 2224.000 0.99544299     5.3188e-03
 2224.500 0.99485499    -3.0496e-03
 2225.000 0.99430299     7.7437e-03
 2225.500 0.99442500    -1.1749e-02
 2226.000 0.99135000    -3.7476e-02
 2226.500 0.98257297     2.4805e-02
 2227.000 0.97880000     5.8352e-02
 2227.500 0.98556900    -5.2060e-03
 2228.000 0.99280101    -2.6416e-02
 2228.500 0.99528903    -2.9871e-03
 2229.000 0.99621397     8.5034e-04
 2229.500 0.99704701    -2.6201e-03
 2230.000 0.99702901    -1.0795e-02
 2230.500 0.99463201    -1.1297e-02
 2231.000 0.98842800    -3.5386e-02
 2231.500 0.97772098     4.4767e-02
 2232.000 0.97365803     1.5775e-02
 2232.500 0.97613603     4.9116e-02
 2233.000 0.98485398    -6.2478e-02
 2233.500 0.98602903     1.9768e-02
 2234.000 0.98838198     1.1675e-02
 2234.500 0.99237502    -2.7108e-02
 2235.000 0.99246699     3.1301e-03
 2235.500 0.99105901    -2.1412e-02
 2236.000 0.98623598     5.5491e-04
 2236.500 0.98245001     4.4081e-02
 2237.000 0.98414600    -4.5313e-02
 2237.500 0.98101503     2.1325e-02
 2238.000 0.98167199     5.0923e-02
 2238.500 0.99040598    -3.1168e-02
 2239.000 0.99480402    -3.0315e-02
 2239.500 0.99219799    -1.5672e-02
 2240.000 0.98641300     1.6707e-02
 2240.500 0.98350799     1.7963e-02
 2241.000 0.98322499    -2.5631e-02
 2241.500 0.98196000     6.0994e-02
 2242.000 0.98823202    -3.7458e-02
 2242.500 0.99050498    -7.1396e-03
 2243.000 0.98922801    -1.9182e-02
 2243.500 0.98299098    -3.5174e-02
 2244.000 0.97457200     1.0751e-01
 2244.500 0.98279399     4.5182e-03
 2245.000 0.99322200    -7.2638e-02
 2245.500 0.99008298    -3.9576e-02
 2246.000 0.97899300     4.0117e-02
 2246.500 0.97127801    -3.9893e-02
 2247.000 0.96237701     9.0990e-02
 2247.500 0.96992499     7.0709e-02
 2248.000 0.98912400    -9.4203e-02
 2248.500 0.99449700    -2.5723e-02
 2249.000 0.99140799    -5.9921e-03
 2249.500 0.98646700     5.2444e-03
 2250.000 0.98219901     1.1666e-03
 2250.500 0.97975498     3.3864e-02
 2251.000 0.98353100     1.2657e-02
 2251.500 0.98883098    -4.7916e-02
 2252.000 0.98674101     1.6486e-03
 2252.500 0.98361403     1.6434e-02
 2253.000 0.98139399    -4.5617e-02
 2253.500 0.97179502    -1.1061e-02
 2254.000 0.96323699     1.1484e-01
 2254.500 0.97287101    -1.1703e-02
 2255.000 0.98125702    -9.7983e-02
 2255.500 0.97423100     3.3748e-02
 2256.000 0.96830601    -1.0582e-02
 2256.500 0.96161002    -9.9212e-03
 2257.000 0.95798397     1.2395e-01
 2257.500 0.97178501    -6.7612e-02
 2258.000 0.97842097    -2.5458e-02
 2258.500 0.97996199     4.7166e-02
 2259.000 0.98650998    -4.3038e-02
 2259.500 0.98631102    -3.6940e-02
 2260.000 0.97853202     8.8765e-03
 2260.500 0.96847600    -5.3215e-02
 2261.000 0.95170498     4.2822e-02
 2261.500 0.94080400     2.2808e-02
 2262.000 0.94000602     1.0842e-01
 2262.500 0.95907998     2.0450e-02
 2263.000 0.97865599    -1.7817e-01
 2263.500 0.97181398     5.8192e-02
 2264.000 0.96599299    -3.0094e-02
 2264.500 0.95885903     3.0674e-02
 2265.000 0.96114498     1.3348e-01
 2265.500 0.98297697    -9.5482e-02
 2266.000 0.99306601    -3.3383e-02
 2266.500 0.99277502    -2.0108e-02
 2267.000 0.98699802    -1.7851e-02
 2267.500 0.97559798    -4.3441e-02
 2268.000 0.95373398    -5.9518e-02
 2268.500 0.92987603     2.3366e-01
 2269.000 0.94573498     7.8089e-02
 2269.500 0.97529501    -2.1719e-01
 2270.000 0.97150898    -9.6421e-03
 2270.500 0.96401399     1.6674e-01
 2271.000 0.97927999    -1.1106e-01
 2271.500 0.98016500    -6.7645e-02
 2272.000 0.96542102     6.5452e-03
 2272.500 0.95624900     1.7519e-01
 2273.000 0.97314698    -8.1632e-02
 2273.500 0.98338801    -8.4302e-03
 2274.000 0.98692399    -4.5568e-02
 2274.500 0.97874999    -9.0336e-02
 2275.000 0.94885701    -1.1434e-01
 2275.500 0.90813398     2.8779e-01
 2276.000 0.91515303     1.0901e-01
 2276.500 0.94551301    -1.6364e-01
 2277.000 0.95563000     5.9733e-02
 2277.500 0.96872598    -3.7918e-03
 2278.000 0.98150998    -5.2053e-02
 2278.500 0.98637998     2.2067e-02
 2279.000 0.99208200    -1.6248e-02
 2279.500 0.99440998    -3.8054e-02
 2280.000 0.98354101    -1.4826e-01
 2280.500 0.95301098     1.5924e-01
 2281.000 0.94972801     1.6522e-01
 2281.500 0.97528499    -1.2797e-01
 2282.000 0.97810698    -1.9897e-01
 2282.500 0.94270402     6.4381e-03
 2283.000 0.91472298     3.5134e-01
 2283.500 0.93598998    -2.2984e-01
 2284.000 0.94146699     1.8907e-01
 2284.500 0.96225297    -1.5900e-01
 2285.000 0.96287102    -3.7077e-02
 2285.500 0.95885801     1.9617e-01
 2286.000 0.98005700    -1.4250e-01
 2286.500 0.98545998    -5.2696e-03
 2287.000 0.98425800     5.0594e-03
 2287.500 0.98344100    -5.7281e-03
 2288.000 0.98325801     3.3069e-02
 2288.500 0.98501301    -8.0038e-02
 2289.000 0.96799499    -1.6347e-01
 2289.500 0.92672801     1.5194e-01
 2290.000 0.91581100     2.8411e-01
 2290.500 0.95290500    -1.3611e-01
 2291.000 0.97607797    -7.3762e-02
 2291.500 0.97869003    -6.2302e-02
 2292.000 0.96707302    -1.8526e-02
 2292.500 0.95761102     1.8813e-01
 2293.000 0.97275901    -1.4334e-01
 2293.500 0.97149098    -8.7477e-03
 2294.000 0.96463102     4.4125e-02
 2294.500 0.96061599    -9.9475e-02
 2295.000 0.94509298     7.7583e-02
 2295.500 0.93880802     1.0857e-02
 2296.000 0.94228798     1.1335e-01
 2296.500 0.96393102    -2.8330e-02
 2297.000 0.98294502    -6.3125e-02
 2297.500 0.98338997    -1.6483e-01
 2298.000 0.95351100    -5.3357e-03
 2298.500 0.92524302     2.2483e-01
 2299.000 0.93336397    -2.0670e-02
 2299.500 0.94301599    -1.0541e-01
 2300.000 0.93412900    -2.6248e-03
 2300.500 0.92733002     1.6602e-01
 2301.000 0.94844598     8.4966e-03
 2301.500 0.97173703    -1.4781e-01
 2302.000 0.97049099    -6.1638e-03
 2302.500 0.96394002     4.5142e-02
 2303.000 0.95993102    -1.1340e-01
 2303.500 0.94099098     5.0108e-02
 2304.000 0.92828500     6.2586e-02
 2304.500 0.93151802     8.2085e-02
 2305.000 0.94856799    -5.9320e-02
 2305.500 0.95846897    -1.6380e-02
 2306.000 0.96249700    -1.6112e-02
 2306.500 0.96250898    -1.5556e-02
 2307.000 0.95456302    -1.1266e-01
 2307.500 0.93763900     2.5070e-01
 2308.000 0.95690000    -2.1723e-02
 2308.500 0.97754401    -1.3062e-01
 2309.000 0.97667098     2.7797e-02
 2309.500 0.97645402     3.5178e-02
 2310.000 0.98369199     1.0408e-02
 2310.500 0.99309897    -2.4753e-02
 2311.000 0.99751300    -3.1226e-02
 2311.500 0.99372399    -4.7216e-02
 2312.000 0.98413599     8.0914e-02
 2312.500 0.98730302     2.9681e-02
 2313.000 0.99670899    -4.9903e-02
 2313.500 0.99902302    -2.7361e-04
 2314.000 0.99909902    -2.7149e-03
 2314.500 0.99869603    -3.6226e-04
 2315.000 0.99601299    -5.0557e-02
 2315.500 0.97969902    -1.2455e-01
 2316.000 0.93583202    -1.1251e-01
 2316.500 0.86763102    -9.4124e-03
 2317.000 0.81130302     4.3512e-01
 2317.500 0.82794797     2.0302e-02
 2318.000 0.86472499    -3.3154e-02
 2318.500 0.89832801     3.6139e-02
 2319.000 0.93118203    -1.2938e-01
 2319.500 0.94406801     2.1342e-03
 2320.000 0.95170498    -5.1370e-03
 2320.500 0.95806801    -1.2161e-02
 2321.000 0.96209401    -2.3094e-03
 2321.500 0.96308500    -5.1442e-02
 2322.000 0.95765698     5.4021e-02
 2322.500 0.95950103     9.8867e-03
 2323.000 0.96551102     6.4147e-03
 2323.500 0.97224498    -1.8170e-02
 2324.000 0.97793698     4.1260e-02
 2324.500 0.98504603    -1.1286e-01
 2325.000 0.97390997    -2.7698e-02
 2325.500 0.96013498     1.6032e-01
 2326.000 0.96920198    -6.5372e-02
 2326.500 0.97594398     4.5369e-02
 2327.000 0.98653698    -2.3678e-02
 2327.500 0.99067301    -1.0562e-01
 2328.000 0.97145098    -1.1442e-01
 2328.500 0.94009697     2.7215e-01
 2329.000 0.95017201     2.0126e-02
 2329.500 0.97315800    -4.2791e-02
 2330.000 0.98641199    -8.2531e-02
 2330.500 0.98286700    -3.0261e-02
 2331.000 0.97024298    -1.4323e-02
 2331.500 0.95564097     4.0081e-02
 2332.000 0.95143801     1.0358e-01
 2332.500 0.96541399    -1.8089e-02
 2333.000 0.97798502    -6.4938e-02
 2333.500 0.97640902    -6.1687e-02
 2334.000 0.96453500     6.4533e-02
 2334.500 0.96055001    -7.1095e-03
 2335.000 0.96060199     6.0792e-02
 2335.500 0.96619499    -1.0307e-01
 2336.000 0.96134001     1.0075e-01
 2336.500 0.96948397     1.2059e-02
 2337.000 0.98084098    -7.1869e-02
 2337.500 0.97708398    -8.7320e-02
 2338.000 0.95648599     1.6965e-02
 2338.500 0.94188797     1.6346e-01
 2339.000 0.94951099    -1.3750e-01
 2339.500 0.93400002    -1.6867e-01
 2340.000 0.89735800     3.0505e-01
 2340.500 0.90538698     2.0575e-02
 2341.000 0.92680800    -6.5942e-02
 2341.500 0.94015002     4.9299e-02
 2342.000 0.95664698    -5.5535e-02
 2342.500 0.96421802    -4.1382e-02
 2343.000 0.96044499    -5.1195e-02
 2343.500 0.95169401     1.2669e-01
 2344.000 0.95855200    -8.0951e-02
 2344.500 0.95430499    -6.9405e-02
 2345.000 0.94007999     1.1910e-01
 2345.500 0.94338202     1.3656e-02
 2346.000 0.94891602    -1.2016e-01
 2346.500 0.93797898     7.1661e-02
 2347.000 0.93333900    -1.5361e-02
 2347.500 0.92438602    -1.1373e-01
 2348.000 0.90531802     2.2752e-01
 2348.500 0.92024201     1.9453e-02
 2349.000 0.94216800    -1.3728e-01
 2349.500 0.94138402    -1.5356e-02
 2350.000 0.92592800    -1.5342e-01
 2350.500 0.89336801     2.1854e-01
 2351.000 0.89707202     1.4958e-01
 2351.500 0.92459601    -2.4517e-01
 2352.000 0.91951501     4.8601e-02
 2352.500 0.91592801     8.6625e-02
 2353.000 0.92211097    -1.6062e-01
 2353.500 0.91772503     3.0221e-01
 2354.000 0.94988698    -1.7108e-01
 2354.500 0.96349400    -6.3201e-02
 2355.000 0.95394999    -1.3174e-01
 2355.500 0.91556001    -1.0214e-01
 2356.000 0.87904602     5.8534e-01
 2356.500 0.92798197    -1.8840e-01
 2357.000 0.96377802    -1.4709e-01
 2357.500 0.96406502    -7.5470e-02
 2358.000 0.93349898    -2.9151e-01
 2358.500 0.87003601     4.5197e-01
 2359.000 0.88494998     3.6468e-01
 2359.500 0.96376699    -3.7701e-01
 2360.000 0.99205202    -6.9398e-02
 2360.500 0.99164099    -3.4101e-02
 2361.000 0.97522300    -1.7837e-01
 2361.500 0.94030303     3.0352e-01
 2362.000 0.95224798     8.9056e-02
 2362.500 0.98443502    -1.7393e-01
 2363.000 0.98876798    -6.1830e-02
 2363.500 0.97297001    -6.1893e-02
 2364.000 0.95016098     1.4114e-01
 2364.500 0.95249599     1.0081e-01
 2365.000 0.97464901    -6.8733e-02
 2365.500 0.98346698    -1.4592e-01
 2366.000 0.96917897     9.7855e-02
 2366.500 0.96278799    -5.5975e-02
 2367.000 0.94315702    -1.9171e-01
 2367.500 0.90729398     4.3326e-01
 2368.000 0.93228698    -8.0786e-02
 2368.500 0.95497102    -1.6553e-01
 2369.000 0.95129001     1.1016e-01
 2369.500 0.93878698    -4.8683e-01
 2370.000 0.84268200    -1.6930e-01
 2370.500 0.72827202     7.2472e-01
 2371.000 0.72963399     4.8953e-02
 2371.500 0.77466202     1.2745e-01
 2372.000 0.83741099    -1.3347e-01
 2372.500 0.88269901    -1.2652e-02
 2373.000 0.91849601    -4.3710e-02
 2373.500 0.94468701    -4.3052e-02
 2374.000 0.96015501    -4.1433e-02
 2374.500 0.96403402    -6.9353e-02
 2375.000 0.95910299     1.0740e-01
 2375.500 0.96548802    -8.8672e-02
 2376.000 0.95210397    -2.2717e-01
 2376.500 0.90747100     2.4739e-01
 2377.000 0.90404397     2.2656e-01
 2377.500 0.93099999    -4.2443e-01
 2378.000 0.90788502     2.6947e-01
 2378.500 0.92110199     2.1853e-01
 2379.000 0.96789998    -3.3764e-01
 2379.500 0.96324003    -1.0297e-01
 2380.000 0.93389499     1.5709e-01
 2380.500 0.93406099     1.8290e-01
 2381.000 0.96693403    -1.0370e-01
 2381.500 0.98716199    -7.1580e-02
 2382.000 0.98788798    -7.8026e-02
 2382.500 0.96284097    -2.3487e-01
 2383.000 0.90178102     1.5318e-01
 2383.500 0.86272502     1.5025e-01
 2384.000 0.86611301     2.6447e-01
 2384.500 0.91903001    -1.9447e-02
 2385.000 0.96664798    -3.1386e-01
 2385.500 0.95273203    -2.0191e-01
 2386.000 0.90563101     3.2508e-01
 2386.500 0.90987498     1.3387e-01
 2387.000 0.94070399    -2.2252e-01
 2387.500 0.93396503    -1.4543e-01
 2388.000 0.90849203     3.5461e-01
 2388.500 0.93812799     4.9611e-02
 2389.000 0.97736299    -3.2268e-01
 2389.500 0.96433198    -1.3295e-02
 2390.000 0.94498801     2.2434e-01
 2390.500 0.94865501    -3.3182e-01
 2391.000 0.90170503    -1.1189e-01
 2391.500 0.85492003     7.8332e-01
 2392.000 0.92423701    -2.3494e-01
 2392.500 0.97461700    -2.9804e-01
 2393.000 0.96896899     8.2440e-02
 2393.500 0.96493399     6.9962e-03
 2394.000 0.96291202    -6.2112e-02
 2394.500 0.95472199     9.3418e-02
 2395.000 0.95849401    -2.4469e-02
 2395.500 0.96175402    -7.8289e-03
 2396.000 0.94914198    -3.2514e-01
 2396.500 0.89379901     2.8286e-01
 2397.000 0.88651001     3.4698e-01
 2397.500 0.93948299    -2.2450e-01
 2398.000 0.96681100    -6.4448e-02
 2398.500 0.97369599    -8.3366e-03
 2399.000 0.97546399    -2.5013e-02
 2399.500 0.96979803    -7.0025e-02
 2400.000 0.95156598     3.5282e-03
 2400.500 0.94164300     2.5533e-01
 2401.000 0.96956098    -1.1667e-01
 2401.500 0.98436803    -1.0333e-01
 2402.000 0.97979200     6.4792e-02
 2402.500 0.98065102    -2.5397e-02
 2403.000 0.97807801    -4.5575e-02
 2403.500 0.95286798    -3.3559e-01
 2404.000 0.88516003     3.6800e-01
 2404.500 0.88314402     4.4022e-01
 2405.000 0.95160300    -4.3747e-01
 2405.500 0.96554798     1.3244e-03
 2406.000 0.95867199    -6.7531e-02
 2406.500 0.93396699    -1.5910e-01
 2407.000 0.89320999     3.1867e-01
 2407.500 0.90276700     9.1971e-02
 2408.000 0.94066101    -6.4607e-03
 2408.500 0.97430801    -1.6806e-01
 2409.000 0.96983099    -2.3629e-01
 2409.500 0.92263800     8.8034e-02
 2410.000 0.90045297     4.8435e-01
 2410.500 0.95335299    -2.2338e-01
 2411.000 0.97864002    -2.5354e-01
 2411.500 0.95704401     1.1236e-01
 2412.000 0.95097297     1.7669e-01
 2412.500 0.97474903    -1.0278e-01
 2413.000 0.98391598    -1.1619e-01
 2413.500 0.96031398    -2.1891e-01
 2414.000 0.90576601     2.4912e-01
 2414.500 0.89952701     3.8186e-01
 2415.000 0.93978500    -6.6062e-01
 2415.500 0.86948103    -3.9288e-01
 2416.000 0.75766402     1.2358e+00
 2416.500 0.83688098     3.4432e-02
 2417.000 0.95114303    -5.3246e-01
 2417.500 0.96989602    -1.9680e-01
 2418.000 0.91516501    -4.4394e-01
 2418.500 0.78985602     2.7868e-01
 2419.000 0.72149497     6.9598e-01
 2419.500 0.79343897     3.0472e-01
 2420.000 0.92438298    -4.9887e-01
 2420.500 0.97874302    -1.4726e-01
 2421.000 0.98650903    -3.0336e-02
 2421.500 0.98053801    -6.1082e-02
 2422.000 0.96802598     1.1768e-01
 2422.500 0.97304302     1.1055e-02
 2423.000 0.97923201    -1.3378e-01
 2423.500 0.95454502    -2.1698e-01
 2424.000 0.90693301     4.5149e-01
 2424.500 0.92579001     6.2845e-03
 2425.000 0.95880502    -1.3683e-01
 2425.500 0.96021199    -2.1754e-01
 2426.000 0.92115599     3.5900e-02
 2426.500 0.89983302     4.9954e-01
 2427.000 0.95182502    -2.7448e-01
 2427.500 0.97687799    -4.8136e-02
 2428.000 0.98325801     1.8879e-02
 2428.500 0.98898000    -4.3171e-02
 2429.000 0.98824298    -1.2119e-03
 2429.500 0.98568797     4.3863e-03
 2430.000 0.98501700     2.8884e-02
 2430.500 0.98857403    -1.8450e-02
 2431.000 0.99005598    -4.8863e-03
 2431.500 0.99006200     2.5729e-03
 2432.000 0.98869097    -3.8454e-02
 2432.500 0.97004700    -2.6331e-01
 2433.000 0.91313499     1.7325e-01
 2433.500 0.89332700     4.6082e-01
 2434.000 0.93949097    -4.3319e-01
 2434.500 0.90227699    -7.2914e-01
 2435.000 0.73197001     1.5551e-01
 2435.500 0.59757000     9.6887e-01
 2436.000 0.63172901     1.4413e-02
 2436.500 0.72859299     4.7839e-01
 2437.000 0.88469499    -5.0628e-01
 2437.500 0.96567899    -2.5612e-01
 2438.000 0.98270798    -4.1619e-03
 2438.500 0.98786700    -1.2111e-02
 2439.000 0.99060899    -5.4025e-03
 2439.500 0.99143702    -1.2214e-02
 2440.000 0.99011803     2.7298e-03
 2440.500 0.98932499     1.3918e-02
 2441.000 0.99065399    -7.4712e-03
 2441.500 0.99116802    -3.5923e-03
 2442.000 0.98660100    -1.0010e-01
 2442.500 0.96502501    -4.2031e-03
 2443.000 0.94856501     2.3970e-01
 2443.500 0.96875101    -7.5097e-02
 2444.000 0.98338097    -7.2658e-02
 2444.500 0.98274702    -6.0621e-04
 2445.000 0.96296102    -3.8457e-01
 2445.500 0.85474098    -5.8354e-01
 2446.000 0.69574499     1.5001e+00
 2446.500 0.75093102    -2.7657e-01
 2447.000 0.80760098    -3.5821e-01
 2447.500 0.80945301     3.9380e-01
 2448.000 0.86258399     1.3712e-02
 2448.500 0.93036002    -9.7164e-02
 2449.000 0.96989501    -3.0284e-01
 2449.500 0.93092102    -5.7570e-01
 2450.000 0.80857801     6.0477e-01
 2450.500 0.75729001    -1.3805e-01
 2451.000 0.70939201     2.8779e-02
 2451.500 0.70836401     1.1478e+00
 2452.000 0.87253898    -6.5515e-01
 2452.500 0.96328998    -2.8938e-01
 2453.000 0.96861202    -2.3761e-01
 2453.500 0.92401499     4.1749e-02
 2454.000 0.86702001    -2.2694e-01
 2454.500 0.80050701     6.3759e-01
 2455.000 0.84555101     3.5395e-01
 2455.500 0.95332998    -5.4775e-01
 2456.000 0.98237997    -5.2426e-02
 2456.500 0.98133701     3.5230e-02
 2457.000 0.98413497     3.6893e-03
 2457.500 0.98825699    -1.8210e-02
 2458.000 0.98945600    -1.0026e-03
 2458.500 0.98892802    -1.9227e-02
 2459.000 0.98535502     4.8318e-03
 2459.500 0.98346102     4.0196e-02
 2460.000 0.98768997    -1.8666e-02
 2460.500 0.98931903    -2.7929e-02
 2461.000 0.98508698    -1.0283e-02
 2461.500 0.97218198    -1.3909e-01
 2462.000 0.89702803    -9.2733e-01
 2462.500 0.70469099     1.0360e+00
 2463.000 0.69533402     1.1748e+00
 2463.500 0.88180298    -1.0353e+00
 2464.000 0.93682200    -1.8835e-01
 2464.500 0.93087500     3.2551e-01
 2465.000 0.96512699    -1.4891e-01
 2465.500 0.98436701    -9.0159e-02
 2466.000 0.98350698     2.7142e-02
 2466.500 0.98292702    -1.1687e-02
 2467.000 0.96647203    -3.6140e-01
 2467.500 0.90015501     2.6058e-01
 2468.000 0.88260502     4.8948e-01
 2468.500 0.94451499    -3.1148e-01
 2469.000 0.97309500    -4.3495e-02
 2469.500 0.97985703    -3.8176e-02
 2470.000 0.97785097    -1.4234e-02
 2470.500 0.97074997    -2.7165e-02
 2471.000 0.94521898    -3.1942e-01
 2471.500 0.82269400    -1.0230e+00
 2472.000 0.54843998     7.6991e-01
