																												Custom Scientific,BS1				Custom Scientific, BS4				Newport AR.14		Melles Griot BBDS		Melles Griot single layer MGF2		Optimax XBBAR	
FSS99_106_45		FSS99_500_0		NaHG		Ag1		Aluminum		X1_Silver		Gold		Bare Gold		AR_Vis		AR		ARIR		Cold Stop		DM Window		ALPAO		TT-LGS,refl		TT-LGS,trans		WFS,trans		WFS, refl				high reflectivity		AR coating		AR coating	
Wvl. (um)       Refl. (%)		Wvl. (um)	Refl (%)	Wvl (um)	Refl (%)	Wvl (μm)	Refl (%)	Wvl (um)	Refl (%)	Wvl (um)	Refl (%)	Wvl (um)	Refl (%)	Wvl (μ)	Refl (%)	Wvl (μm)	Trans %	Wvl (um)	Trans (%)	Wvl (um)	Trans (%)	Wvl (um)	Trans (%)	Wv (μm)	Trans %	Wv (μm)	Refl %	Wvl 	Refl	Wvl	Trans	Wvl	Trans	Wvl	Refl	Wvl	Trans	wvl	refl	wvl	trans	wvl	trans
																																											
0.75	97.555	0.62729	98.9485	0.447164	95.873	0.946	96.829	0.600	91.1	0.456059	96.9474	0.557143	73.5669	0.58	88.028	1.250209	98.492	0.740	98.93	0.900	97.00	1.1	95.00	0.602078	99.087	0.716406	97.74	0.46692	72.647	0.46692	27.353	0.44932	6.459	0.44932	93.541	0.649286	99.781	0.914	99.71			0.735484	99.696
0.775	98.064	0.657227	98.8866	0.462388	97.037	0.995	96.754	0.650	90.5	0.461693	97.0877	0.566667	76.7516	0.589	89.085	1.288285	97.908	0.760	98.92	0.950	97.00	1.15	95.00	0.614343	99.190	0.763281	97.589	0.470106	83.824	0.470106	16.176	0.451916	27.99	0.451916	72.01	0.670714	99.639	0.951	99.807			0.771774	99.78
0.8	98.3813	0.70213	98.8247	0.480149	97.8836	1.0475	96.874	0.700	89.7	0.46795	97.193	0.57619	81.5287	0.633	93.31			0.780	98.91	1.000	99.70	1.2	95.00	0.620476	99.242	0.814062	97.466	0.470106	53.529	0.470106	46.471	0.454512	9.33	0.454512	90.67	0.699286	99.277	1.001	99.758			0.804435	99.811
0.825	98.6217	0.742955	98.701	0.502985	98.4127	1.1945	97.357	0.750	88.6	0.473583	97.3333	0.585714	83.758	0.714	96.83			0.800	98.89	1.050	99.70	1.25	95.00	0.629606	99.263	0.841406	97.425	0.473293	53.529	0.473293	46.471	0.457108	21.531	0.457108	78.469			1.05	99.903			0.829839	99.801
0.85	98.8268	0.78379	98.4536	0.530896	98.836	1.3835	97.884	0.800	86.7	0.476086	97.3684	0.6	86.9427	0.818	98.24			0.820	98.87	1.100	99.70	1.3	95.00	0.641682	99.211	0.857031	97.644	0.47648	60	0.47648	40	0.459703	0.957	0.459703	99.043			1.069	99.903			0.8625	99.685
0.875	98.971	0.816453	98.3299	0.556269	98.9418	1.632	98.337	0.850	86.7	0.481717	97.4737	0.619048	90.4459	0.907	98.59			0.840	98.83	1.150	99.70	1.35	95.00	0.650661	99.107	0.86875	97.712	0.479666	76.471	0.479666	23.529	0.464895	0.478	0.464895	99.522			1.111	99.662			0.889718	99.528
0.9	99.0839	0.842308	98.268	0.599403	99.1534	1.835	98.593	0.900	89.1	0.489224	97.5789	0.647619	92.6752	1.153	98.59			0.860	98.78	1.200	99.70	1.4	95.00	0.662624	98.962	0.892187	97.575	0.479666	69.118	0.479666	30.882	0.472682	6.459	0.472682	93.541			1.155	97.971			0.91875	99.255
0.925	99.1567	0.879052	98.1443	0.642537	99.0476	2.003	98.729	0.950	92.4	0.493603	97.6491	0.685714	94.586	1.748	98.94			0.880	98.72	1.250	99.70	1.45	95.00	0.674575	98.806	0.93125	97.466	0.482853	99.706	0.482853	0.294	0.477874	3.11	0.477874	96.89			1.184	90.048			0.967742	98.689
0.95	99.2161	0.904916	97.9588	0.698358	99.1534	2.15	98.729	1.000	94.0	0.497982	97.7193	0.728571	95.8599	2.205	98.94			0.900	98.65	1.300	99.70	1.5	95.00	0.689573	98.661	0.99375	97.521	0.498786	100	0.498786	0	0.485661	58.373	0.485661	41.627							1.004032	98.143
0.975	99.2277	0.934843	98.0206	0.751642	99.0476	2.2935	98.729	1.500	97.4	0.501107	97.7193	0.77619	96.4968	2.848	98.94			0.920	98.58	1.350	99.70	1.55	95.00	0.70165	98.609	1.048437	97.644	0.514719	100	0.514719	0	0.493449	2.632	0.493449	97.368							1.03125	97.682
