#0.9-5.6um (900-5600nm) sky emission above Mauna Kea
#for 1.6mm H2O, 1.5 airmasses
#resolution is 0.20nm (0.00020um)

#     nm             ph/sec/arcsec2/nm/m2

     928.2401       2.823770
     928.3400       3.095682
     928.4401       3.105269
     928.5399       3.089590
     928.6400       3.096614
     928.7401       2.790505
     928.8400       3.006435
     928.9401       2.927226
     929.0399       3.044656
     929.1400       2.964595
     929.2401       3.059157
     929.3400       3.006874
     929.4401       3.019794
     929.5399       2.980316
     929.6400       3.021938
     929.7401       2.547314
     929.8400       3.050733
     929.9401       2.996343
     930.0399       2.566161
     930.1400       3.041549
     930.2401       2.941992
     930.3400       2.332347
     930.4401       2.915938
     930.5400       3.075762
     930.6400       2.573977
     930.7401       2.967829
     930.8400      11.454339
     930.9401      10.406537
     931.0399      12.124592
     931.1400       6.377747
     931.2401       2.867167
     931.3400       4.667236
     931.4401       2.884826
     931.5399      26.340229
     931.6400      19.559692
     931.7401       2.561574
     931.8400       1.925703
     931.9401       1.308100
     932.0400       4.268865
     932.1400       2.199753
     932.2401       2.933612
     932.3400       2.765670
     932.4401       5.727460
     932.5399       9.335691
     932.6400      31.734045
     932.7401       1.780389
     932.8400       1.965894
     932.9401       2.984993
     933.0399       2.161177
     933.1400       2.962465
     933.2401       3.004093
     933.3400       2.950739
     933.4401       2.578684
     933.5399       2.708544
     933.6400       1.569468
     933.7401       1.960682
     933.8400       2.422252
     933.9401       2.545155
     934.0399      13.223012
     934.1400       2.021315
     934.2401       2.227830
     934.3400       2.979578
     934.4401       2.473101
     934.5400       1.069977
     934.6400       0.940909
     934.7401       1.931421
     934.8400       1.542639
     934.9401       2.754610
     935.0399       2.978415
     935.1400       3.037826
     935.2401       3.022573
     935.3400       2.903122
     935.4401       3.012767
     935.5399       2.133851
     935.6400       1.056695
     935.7401       1.901505
     935.8400       2.894655
     935.9401       2.575903
     936.0399       0.873967
     936.1400       1.262123
     936.2401       2.907066
     936.3400       2.825745
     936.4401       2.933416
     936.5399       2.965104
     936.6400       2.914974
     936.7401       1.837052
     936.8400       2.404686
     936.9399       2.048426
     937.0400       2.910600
     937.1400       2.320314
     937.2401       1.828977
     937.3400       1.813403
     937.4401       1.348138
     937.5399       2.782039
     937.6400       7.152765
     937.7401       7.009393
     937.8400      80.211403
     937.9401       4.038455
     938.0399       1.342967
     938.1400       2.811958
     938.2401       2.357191
     938.3400       1.368008
     938.4401       1.986319
     938.5399       5.520426
     938.6400       2.873988
     938.7401       3.035962
     938.8400       3.076145
     938.9401       9.077120
     939.0399       2.506710
     939.1400       3.046875
     939.2401       3.071681
     939.3400       3.028422
     939.4399       2.698985
     939.5400       3.076506
     939.6400       3.030438
     939.7401       2.985566
     939.8400       2.990271
     939.9401       4.052474
     940.0399       3.177642
     940.1400       2.214833
     940.2401       2.642240
     940.3400       2.963909
     940.4401      12.776024
     940.5399       3.858308
     940.6400       2.831273
     940.7401       2.899890
     940.8400       3.005278
     940.9401       2.711960
     941.0399       3.051808
     941.1400       2.641827
     941.2401       2.423125
     941.3400       2.027442
     941.4401       2.853394
     941.5399       2.977834
     941.6400       2.753620
     941.7401       3.037160
     941.8400       3.052884
     941.9399       3.258295
     942.0400       1.756324
     942.1400       3.189391
     942.2401      20.198452
     942.3400       2.902771
     942.4401       4.134169
     942.5399       4.672471
     942.6400       3.036933
     942.7401       2.948886
     942.8400       2.773268
     942.9401       1.092740
     943.0399       1.472670
     943.1400       2.064130
     943.2401       2.751535
     943.3400       1.885783
     943.4401       2.979117
     943.5399       3.035882
     943.6400       3.043704
     943.7401       3.034962
     943.8400       3.022234
     943.9401       2.837166
     944.0399       1.241668
     944.1400       4.186945
     944.2401      50.925926
     944.3400       0.336019
     944.4401       2.372553
     944.5400       2.151139
     944.6400       2.307906
     944.7401       2.794638
     944.8400       2.422889
     944.9401       3.235326
     945.0399       3.961304
     945.1400       2.793827
     945.2401       2.695289
     945.3400       2.815321
     945.4401       3.019930
     945.5399       2.984060
     945.6400       2.364252
     945.7401       2.023522
     945.8400       1.947773
     945.9401       2.427179
     946.0400       5.131635
     946.1400      23.670164
     946.2401       1.516735
     946.3400       1.696601
     946.4401       2.146025
     946.5399       2.990072
     946.6400       2.938205
     946.7401       2.774223
     946.8400       2.723802
     946.9401       2.926933
     947.0399       2.797496
     947.1400       2.221552
     947.2401       2.260882
     947.3400       2.790867
     947.4401       3.077485
     947.5399       2.990594
     947.6400       2.776695
     947.7401       2.092524
     947.8400       2.712373
     947.9401      65.960030
     948.0399       4.220767
     948.1400       2.972038
     948.2401       2.056108
     948.3400       1.993157
     948.4401       1.113244
     948.5400       2.540407
     948.6400       3.004224
     948.7401       2.969535
     948.8400       2.856513
     948.9401       2.901651
     949.0399       2.868499
     949.1400       3.046636
     949.2401       2.966750
     949.3400       3.024287
     949.4401       2.945282
     949.5399       2.700017
     949.6400       1.331199
     949.7401       1.870649
     949.8400       2.882767
     949.9401       2.489503
     950.0399       2.044537
     950.1400       2.750768
     950.2401       2.357656
     950.3400       1.071561
     950.4401       1.716027
     950.5399      22.398880
     950.6400       3.019321
     950.7401       2.886037
     950.8400       2.424062
     950.9399       2.996349
     951.0400       2.989648
     951.1400       2.971714
     951.2401       3.005713
     951.3400       2.723466
     951.4401       3.019073
     951.5399       2.913616
     951.6400       2.746661
     951.7401       2.853468
     951.8400       2.881296
     951.9401       1.506345
     952.0399       2.446420
     952.1400      16.937231
     952.2401      21.160152
     952.3400       2.866978
     952.4401       1.812406
     952.5399       2.050811
     952.6400       2.824245
     952.7401       2.405901
     952.8400       2.852444
     952.9401       2.915617
     953.0399       2.562684
     953.1400       2.181051
     953.2401       2.720350
     953.3400       2.981989
     953.4399       2.786254
     953.5400       2.980489
     953.6400       2.892812
     953.7401       2.946929
     953.8400       1.936873
     953.9401       2.770391
     954.0399       2.891395
     954.1400       2.783286
     954.2401       2.995579
     954.3400       2.398207
     954.4401       2.918616
     954.5399       2.852180
     954.6400       1.169752
     954.7401       2.248347
     954.8400       2.622805
     954.9401       2.838653
     955.0399       2.978317
     955.1400       2.631851
     955.2401       2.895550
     955.3400       2.857758
     955.4401       3.969463
     955.5399      14.388232
     955.6400       1.829223
     955.7401       2.627254
     955.8400       2.625838
     955.9401       2.284208
     956.0400       2.377301
     956.1400       2.791514
     956.2401       3.005858
     956.3400       3.020746
     956.4399       2.954227
     956.5399       2.407768
     956.6400       2.552688
     956.7401       2.254029
     956.8400       2.660292
